,Lights,Refrigerator,Kitchen stove,Dishwasher,Washer,Dryer,Freezer,Other Appliances,Total (5 min)
Time,Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W),Power (W)
10:00:00,0,0,0,0,0,0,0,62,62
10:05:00,0,80,0,0,0,0,0,62,142
10:10:00,0,251,0,0,0,0,0,62,313
10:15:00,0,242,0,0,0,0,0,62,304
10:20:00,0,242,0,0,0,0,0,62,304
10:25:00,0,234,0,0,0,0,0,62,296
10:30:00,0,160,0,0,0,0,0,62,222
10:35:00,0,0,0,0,0,0,0,62,62
10:40:00,0,0,0,0,0,0,0,312,312
10:45:00,0,0,0,0,0,0,0,312,312
10:50:00,0,0,0,0,0,0,0,312,312
10:55:00,0,0,0,0,0,0,0,312,312
11:00:00,0,0,0,0,0,0,0,312,312
11:05:00,0,0,0,0,0,0,0,312,312
11:10:00,0,0,0,0,0,0,0,312,312
11:15:00,0,80,0,0,0,0,0,312,392
11:20:00,0,251,0,0,0,0,0,312,563
11:25:00,0,242,0,0,0,0,0,312,554
11:30:00,0,242,0,0,0,0,0,312,554
11:35:00,0,234,0,0,0,0,0,312,546
11:40:00,0,160,0,0,0,0,0,312,472
11:45:00,0,0,0,0,0,0,0,92,92
11:50:00,0,0,0,0,0,0,0,92,92
11:55:00,0,0,0,0,0,0,0,92,92
12:00:00,0,0,0,0,0,0,0,92,92
12:05:00,0,0,0,0,0,0,0,92,92
12:10:00,0,0,0,0,0,0,0,92,92
12:15:00,0,0,0,0,0,0,0,92,92
12:20:00,205,0,0,0,0,0,0,92,297
12:25:00,205,80,0,0,0,0,0,212,497
12:30:00,205,251,0,0,0,0,0,212,668
12:35:00,205,242,0,0,0,0,0,212,659
12:40:00,205,242,0,0,0,0,0,212,659
12:45:00,205,234,0,0,0,0,0,212,651
12:50:00,205,160,0,0,0,0,0,212,577
12:55:00,205,0,0,0,0,0,0,92,297
13:00:00,205,0,0,0,0,0,0,92,297
13:05:00,205,0,0,0,0,0,0,92,297
13:10:00,0,0,0,0,0,0,0,92,92
13:15:00,0,0,0,0,0,0,0,92,92
13:20:00,0,0,0,0,0,0,0,92,92
13:25:00,0,0,0,0,0,0,0,92,92
13:30:00,0,0,0,0,0,0,0,92,92
13:35:00,0,80,0,0,0,0,0,92,172
13:40:00,0,251,0,0,0,0,0,92,343
13:45:00,0,242,0,0,0,0,0,62,304
13:50:00,0,242,0,0,0,0,0,62,304
13:55:00,0,234,0,0,0,0,0,62,296
14:00:00,0,160,0,0,0,0,0,62,222
14:05:00,100,0,0,0,0,0,0,62,162
14:10:00,100,0,0,0,0,0,0,62,162
14:15:00,100,0,0,0,0,0,0,62,162
14:20:00,100,0,0,0,0,0,0,62,162
14:25:00,100,0,0,0,0,0,0,62,162
14:30:00,100,0,0,0,0,0,0,62,162
14:35:00,100,0,0,0,0,0,0,62,162
14:40:00,100,0,0,0,0,0,0,62,162
14:45:00,100,80,0,0,0,0,0,62,242
14:50:00,100,251,0,0,0,0,0,62,413
14:55:00,100,242,0,0,0,0,0,62,404
15:00:00,100,242,0,0,0,0,0,62,404
15:05:00,160,234,0,0,0,0,0,62,456
15:10:00,60,160,0,0,0,0,0,62,282
15:15:00,60,0,0,0,0,0,0,62,122
15:20:00,60,0,0,0,0,0,0,62,122
15:25:00,60,0,0,0,0,0,0,62,122
15:30:00,60,0,0,0,0,0,0,62,122
15:35:00,60,0,0,0,0,0,0,62,122
15:40:00,60,0,0,0,0,0,0,62,122
15:45:00,60,0,0,0,0,0,0,62,122
15:50:00,60,0,0,0,0,0,0,62,122
15:55:00,60,80,0,0,0,0,0,62,202
16:00:00,60,251,0,0,0,0,0,242,553
16:05:00,60,242,0,0,0,0,0,62,364
16:10:00,60,242,0,0,0,0,0,62,364
16:15:00,60,234,0,0,0,0,0,62,356
16:20:00,160,160,0,0,0,0,0,62,382
16:25:00,160,0,0,0,0,0,0,242,402
16:30:00,160,0,0,0,0,0,0,242,402
16:35:00,160,0,0,0,0,0,0,242,402
16:40:00,60,0,0,0,0,0,0,342,402
16:45:00,90,0,0,0,0,0,0,342,432
16:50:00,90,0,0,0,0,0,0,342,432
16:55:00,30,0,0,0,0,0,0,342,372
17:00:00,130,0,0,0,0,0,0,342,472
17:05:00,130,80,0,0,0,0,0,342,552
17:10:00,130,251,0,0,0,0,0,342,723
17:15:00,130,242,0,0,0,0,0,342,714
17:20:00,130,242,0,0,0,0,0,342,714
17:25:00,335,234,0,0,0,0,0,342,911
17:30:00,335,160,0,0,0,0,0,342,837
17:35:00,235,0,0,0,0,0,0,342,577
17:40:00,235,0,0,0,0,0,0,342,577
17:45:00,235,0,0,0,0,0,0,342,577
17:50:00,235,0,0,0,0,0,0,342,577
17:55:00,235,0,0,0,0,0,0,342,577
18:00:00,235,0,0,0,0,0,0,62,297
18:05:00,235,0,0,0,0,0,0,242,477
18:10:00,235,0,0,0,0,0,0,242,477
18:15:00,80,80,0,0,0,0,0,422,582
18:20:00,180,251,0,0,0,0,0,422,853
18:25:00,180,242,0,0,0,0,0,422,844
18:30:00,180,242,0,0,0,0,0,422,844
18:35:00,190,234,0,0,0,0,0,422,846
18:40:00,190,160,0,0,0,0,0,422,772
18:45:00,90,0,1600,0,0,0,0,422,2112
18:50:00,295,0,1600,0,0,0,0,422,2317
18:55:00,295,0,1600,0,0,0,0,522,2417
19:00:00,395,0,1600,0,0,0,0,522,2517
19:05:00,335,0,1600,0,0,0,0,342,2277
19:10:00,435,0,1600,0,0,0,0,342,2377
19:15:00,535,0,1600,0,0,0,0,242,2377
19:20:00,405,0,1600,0,0,0,0,242,2247
19:25:00,405,80,1600,0,0,0,0,242,2327
19:30:00,405,251,1600,0,0,0,0,242,2498
19:35:00,405,242,1600,0,0,0,0,242,2489
19:40:00,335,242,0,0,0,0,0,242,819
19:45:00,335,234,0,0,0,0,0,242,811
19:50:00,335,160,0,0,0,0,0,242,737
19:55:00,335,0,0,0,0,0,0,242,577
20:00:00,305,0,0,0,0,0,0,242,547
20:05:00,335,0,0,0,0,0,0,62,397
20:10:00,335,0,0,0,0,0,0,62,397
20:15:00,130,0,0,0,0,0,0,62,192
20:20:00,130,0,0,0,0,0,0,62,192
20:25:00,130,0,0,0,0,0,0,62,192
20:30:00,130,0,0,0,0,0,0,62,192
20:35:00,230,80,0,0,0,0,0,62,372
20:40:00,230,251,0,0,0,0,0,162,643
20:45:00,230,242,0,0,0,0,0,162,634
20:50:00,130,242,0,0,0,0,0,162,534
20:55:00,130,234,0,0,0,0,0,162,526
21:00:00,130,160,0,0,0,0,0,62,352
21:05:00,130,0,0,0,0,0,0,62,192
21:10:00,130,0,0,0,0,0,0,62,192
21:15:00,130,0,0,0,0,0,0,62,192
21:20:00,230,0,0,0,0,0,0,62,292
21:25:00,230,0,0,0,0,0,0,62,292
21:30:00,230,0,0,0,0,0,0,62,292
21:35:00,230,0,0,0,0,0,0,62,292
21:40:00,230,0,0,0,0,0,0,62,292
21:45:00,290,80,0,0,0,0,0,62,432
21:50:00,260,251,0,0,0,0,0,62,573
21:55:00,160,242,0,0,0,0,0,62,464
22:00:00,160,242,0,0,0,0,0,62,464
22:05:00,160,234,0,0,0,0,0,62,456
22:10:00,160,160,0,0,0,0,0,62,382
22:15:00,160,0,0,0,0,0,0,62,222
