*header,File_Name,Attachment,Region,DHW_LpY,DHW_GJpY,DHW_energy_src,NN_DHW_System_Efficiency,AL_GJpY,AL-Dryer_GJpY,AL-Stove-Other_GJpY,stove_fuel_use,dryer_fuel_used,Clothes_Dryer,Rural_Suburb_Urban,Num_of_Adults,Num_of_Children,Employment_Ratio,HDD,Ground_Temp
*data,2264A00013.HDF,1-SD,1-AT,87369,21.54,1,0.824,28.99,0.00,28.99,2,2,0,3,2,0,1,4881.5,6.4
*data,2264A00017.HDF,1-SD,1-AT,71063,17.52,1,0.824,29.10,0.48,28.62,2,2,1.5,3,2,3,0,4881.5,6.4
*data,2264A00018.HDF,1-SD,1-AT,83354,20.55,1,0.824,31.12,0,31.12,2,2,6,3,1,0,1,4881.5,6.4
*data,2264A00021.HDF,1-SD,1-AT,74067,28.39,3,0.53,24.58,0,24.58,2,2,1.5,3,2,0,0,4881.5,6.4
*data,2264A00028.HDF,1-SD,1-AT,99659,24.57,1,0.824,18.02,0.00,18.02,2,2,0,3,1,0,0,4881.5,6.4
*data,2264A00031.HDF,1-SD,1-AT,85017,20.96,1,0.824,27.47,3.51,23.96,2,2,6,2,2,0,1,4881.5,6.4
*data,2264A00034.HDF,1-SD,1-AT,67649,25.93,3,0.53,23.92,0.42,23.50,2,2,1.5,3,2,3,1,4881.5,6.4
*data,2299A00002.HDF,1-SD,1-AT,94548,23.31,1,0.824,31.46,3.32,28.14,2,2,6,1,2,2,0.5,4881.5,6.4
*data,2299A00010.HDF,1-SD,1-AT,72240,17.81,1,0.824,27.15,0.24,26.91,2,2,1.5,3,2,0,1,4881.5,6.4
*data,2299A00024.HDF,1-SD,1-AT,76499,18.86,1,0.824,26.34,0.97,25.37,2,2,6,3,2,0,0,4881.5,6.4
*data,2299A00045.HDF,1-SD,1-AT,80879,19.94,1,0.824,24.97,1.26,23.71,2,2,4,3,2,0,0.5,4881.5,6.4
*data,2299A00055.HDF,1-SD,1-AT,59953,22.98,3,0.53,27.69,2.09,25.60,2,2,4,3,1,0,0,4881.5,6.4
*data,2299A00072.HDF,1-SD,1-AT,71823,27.53,3,0.53,37.45,6.84,30.61,2,2,6,1,1,0,0,4881.5,6.4
*data,2299A00078.HDF,1-SD,1-AT,83070,20.48,1,0.824,46.60,3.51,43.09,2,2,4,1,2,0,1,4881.5,6.4
*data,2299A00082.HDF,1-SD,1-AT,98807,24.36,1,0.824,18.91,0.65,18.26,2,2,1.5,3,2,0,0,4881.5,6.4
*data,2299A00085.HDF,1-SD,1-AT,67519,25.88,3,0.53,41.99,4.00,37.99,2,2,4,3,2,2,0,4881.5,6.4
*data,2299A00099.HDF,1-SD,1-AT,82502,20.34,1,0.824,25.92,0.44,25.48,2,2,1.5,3,1,1,1,4881.5,6.4
*data,2299A00104.HDF,1-SD,1-AT,77675,19.15,1,0.824,30.85,3.16,27.69,2,2,4,3,1,0,0,4881.5,6.4
*data,2299A00105.HDF,1-SD,1-AT,86923,21.43,1,0.824,29.21,0.48,28.73,2,2,1.5,3,2,2,1,4881.5,6.4
*data,2299A00114.HDF,1-SD,1-AT,83172,31.88,3,0.53,37.97,4.50,33.47,2,2,6,1,2,3,0,4881.5,6.4
