Filename,hse_type,region,HOT2XP_CITY
2213A01949.HDF,2-DR,5-BC,VANCOUVER
2213A01952.HDF,1-SD,5-BC,VANCOUVER
2213A01955.HDF,1-SD,5-BC,VANCOUVER
2213A01956.HDF,1-SD,5-BC,VANCOUVER
2213A01957.HDF,2-DR,5-BC,VANCOUVER
2213A01962.HDF,2-DR,5-BC,VANCOUVER
2213A01963.HDF,1-SD,5-BC,VANCOUVER
2213A01964.HDF,1-SD,5-BC,VANCOUVER
2213A01965.HDF,1-SD,5-BC,VANCOUVER
2213A01970.HDF,2-DR,5-BC,VANCOUVER
2213A01971.HDF,1-SD,5-BC,VANCOUVER
2213A01977.HDF,1-SD,5-BC,ABBOTSFORD
2213A01980.HDF,1-SD,5-BC,VANCOUVER
2213A01983.HDF,1-SD,5-BC,VANCOUVER
2213A01986.HDF,1-SD,5-BC,VANCOUVER
2213A01989.HDF,1-SD,5-BC,VANCOUVER
2213A01990.HDF,1-SD,5-BC,VANCOUVER
2213A01991.HDF,2-DR,5-BC,VANCOUVER
2213A01993.HDF,1-SD,5-BC,VANCOUVER
2213A01996.HDF,1-SD,5-BC,VANCOUVER
2213A01999.HDF,1-SD,5-BC,VANCOUVER
2213A02000.HDF,2-DR,5-BC,VANCOUVER
2213A02005.HDF,1-SD,5-BC,KAMLOOPS
2213A02009.HDF,1-SD,5-BC,KAMLOOPS
2213A02014.HDF,1-SD,5-BC,KAMLOOPS
2213A02023.HDF,2-DR,5-BC,VANCOUVER
2213A02024.HDF,2-DR,5-BC,VANCOUVER
2213A02029.HDF,1-SD,5-BC,VANCOUVER
2213A02032.HDF,2-DR,5-BC,VANCOUVER
2213A02037.HDF,1-SD,5-BC,VANCOUVER
2213A02042.HDF,1-SD,5-BC,VANCOUVER
2213A02045.HDF,1-SD,5-BC,VANCOUVER
2213A02051.HDF,1-SD,5-BC,VANCOUVER
2213A02056.HDF,1-SD,5-BC,VANCOUVER
2213A02065.HDF,1-SD,5-BC,VANCOUVER
