*header,Filename,GJ,kWh
*data,2401A00007.HDF,30.21,8391
*data,2401A00007.HDF.No-Dryer,26.29,7302
*data,2401A00017.HDF,33.82,9394
*data,2401A00017.HDF.No-Dryer,30.91,8587
*data,2401A00023.HDF,30.15,8376
*data,2401A00023.HDF.No-Dryer,28.18,7827
*data,2401A00030.HDF,29.81,8281
*data,2401A00030.HDF.No-Dryer,28.29,7859
*data,2401A00032.HDF,28.25,7846
*data,2401A00032.HDF.No-Dryer,28.25,7846
*data,2401A00034.HDF,24.32,6755
*data,2401A00034.HDF.No-Dryer,23.04,6399
*data,2401A00040.HDF,47.26,13128
*data,2401A00040.HDF.No-Dryer,41.88,11635
*data,2401A00043.HDF,42.37,11770
*data,2401A00043.HDF.No-Dryer,40.89,11358
*data,2401A00046.HDF,45.65,12681
*data,2401A00046.HDF.No-Dryer,42.80,11889
*data,2401A00049.HDF,37.76,10489
*data,2401A00049.HDF.No-Dryer,34.48,9579
*data,2401A00054.HDF,31.41,8725
*data,2401A00054.HDF.No-Dryer,28.55,7931
*data,2401A00058.HDF,32.20,8944
*data,2401A00058.HDF.No-Dryer,29.36,8155
*data,2401A00061.HDF,26.13,7257
*data,2401A00061.HDF.No-Dryer,25.46,7073
*data,2401A00063.HDF,46.90,13026
*data,2401A00063.HDF.No-Dryer,45.98,12773
*data,2401A00080.HDF,22.70,6306
*data,2401A00080.HDF.No-Dryer,21.36,5934
*data,2401A00099.HDF,37.81,10502
*data,2401A00099.HDF.No-Dryer,36.63,10175
*data,2401A00101.HDF,30.68,8521
*data,2401A00101.HDF.No-Dryer,27.66,7683
*data,2401A00105.HDF,38.94,10817
*data,2401A00105.HDF.No-Dryer,35.43,9841
*data,2401A00140.HDF,36.86,10240
*data,2401A00140.HDF.No-Dryer,34.07,9463
*data,2401A00145.HDF,28.37,7882
*data,2401A00145.HDF.No-Dryer,28.37,7882
*data,2401A00157.HDF,29.86,8295
*data,2401A00157.HDF.No-Dryer,27.88,7745
*data,2402A00162.HDF,47.78,13271
*data,2402A00162.HDF.No-Dryer,44.67,12408
*data,2402A00185.HDF,38.18,10605
*data,2402A00185.HDF.No-Dryer,34.27,9520
*data,2402A00188.HDF,35.85,9958
*data,2402A00188.HDF.No-Dryer,32.76,9099
*data,2402A00199.HDF,26.41,7337
*data,2402A00199.HDF.No-Dryer,24.26,6740
*data,2402A00205.HDF,18.38,5106
*data,2402A00205.HDF.No-Dryer,18.38,5106
*data,2402A00233.HDF,49.48,13743
