*data,HAPPY VALLEY,NL,NEWFOUNDLAND,53.3,-60.4,6786.5,1.8,can_goosebay.cwec,GOOSE BAY,NL,NEWFOUNDLAND,2000,53.32,-0.42,0,53.3,-60.4,6786.5,1.8,GOOSE BAY,NEWFOUNDLAND,4.9,10.4,0.489,0,0,0,0,1
*data,HOPEDALE,NL,NEWFOUNDLAND,,,,,can_schefferville.cwec,SCHEFFERVILLE,QC,QUEBEC,2000,54.8,-6.82,0,54.8,-66.8,8475.5,0.2,GOOSE BAY,NEWFOUNDLAND,4.9,10.4,0.489,,,,,
*data,ST. JOHN'S,NL,NEWFOUNDLAND,47.6,-52.7,4881.5,0,can_stjohns.cwec,ST. JOHN'S,NL,NEWFOUNDLAND,2000,47.62,7.27,0,47.6,-52.7,4881.5,0,SAINT JOHN'S,NEWFOUNDLAND,6.7,8.0,0.648,0,0,0,0,1
*data,ST JOHN'S,NL,NEWFOUNDLAND,47.6,-52.7,4881.5,0,can_stjohns.cwec,ST. JOHN'S,NL,NEWFOUNDLAND,2000,47.62,7.27,0,47.6,-52.7,4881.5,0,SAINT JOHN'S,NEWFOUNDLAND,6.7,8.0,0.648,0,0,0,0,1
*data,STEPHENVILLE,NL,NEWFOUNDLAND,48.5,-58.6,4899.4,0,can_stephenville.cwec,STEPHENVILLE,NL,NEWFOUNDLAND,2000,48.53,1.45,0,48.5,-58.6,4899.4,0,SAINT JOHN'S,NEWFOUNDLAND,6.7,8.0,0.648,0,0,0,0,1
*data,WABUSH,NL,NEWFOUNDLAND,52.9,-66.9,7838.7,0.1,can_goosebay.cwec,GOOSE BAY,NL,NEWFOUNDLAND,2000,53.32,-0.42,0,53.3,-60.4,6786.5,1.8,GOOSE BAY,NEWFOUNDLAND,4.9,10.4,0.489,-0.4,-6.5,1052.2,-1.7,1.16
*data,FORT SMITH,NT,NORTHWEST TERRITORY,60,-112,7438.9,0.8,can_churchill.cwec,CHURCHILL,MB,MANITOBA,2000,58.75,-4.07,0,58.7,-94.1,9068.4,0.6,THOMPSON,MANITOBA,2.7,12.4,0.395,1.3,-17.9,-1629.5,0.2,0.82
*data,INUVIK,NT,NORTHWEST TERRITORY,68.3,-133.5,9766.9,0.3,can_inuvik.cwec,INUVIK,NT,NORTHWEST TERRITORY,2000,68.3,1.52,0,68.3,-133.5,9766.9,0.3,YELLOWKNIFE,NORTHWEST TERRITORY,4,13.1,0.460,0,0,0,0,1
*data,NORMAN WELLS,NT,NORTHWEST TERRITORY,65.3,-126.8,8614.9,1.2,can_inuvik.cwec,INUVIK,NT,NORTHWEST TERRITORY,2000,68.3,1.52,0,68.3,-133.5,9766.9,0.3,YELLOWKNIFE,NORTHWEST TERRITORY,4,13.1,0.460,-3,6.7,-1152,0.9,0.88
*data,YELLOWKNIFE,NT,NORTHWEST TERRITORY,62.5,-114.4,8256,0.4,can_yellowknife.cwec,YELLOWKNIFE,NT,NORTHWEST TERRITORY,1997,62.47,9.45,0,62.5,-114.4,8256,0.4,YELLOWKNIFE,NORTHWEST TERRITORY,4,13.1,0.460,0,0,0,0,1
