*info,Geographic name,"Incompletely enumerated Indian reserves and Indian settlements, 2006","Population, 2006","Total private dwellings, 2006","Private dwellings occupied by usual residents, 2006"
*info,Canada,T,31612897,13576855,12435520
*note,THIS FILE HAS BEEN TAGGED BY LUKAS SWAN.,,,,
*note,I WILL USE THIS FILE BY DIVIDING THE VALUES BY LAND AREA TO ACHIEVE AN URBAN/RURAL ESTIMATION,,,,
*note,FSA stands for Forward Sortation Area and is included in the CSDDRD,,,,
*header,FSA,incomplete,population,dwellings_total,dwellings_occupied
*units,-,-,count,count,count
*data,S4V,,19935,7382,7227
*data,S4W,,31,13,13
*data,S4X,,19785,7093,7003
*data,S4Y,,2565,772,767
*data,S4Z,,409,146,141
*data,S6H,,28756,13284,12358
*data,S6J,,3693,1559,1466
*data,S6K,,709,242,239
*data,S6V,,39753,16155,15173
*data,S6W,,5,2,2
*data,S6X,,1068,348,343
*data,S7H,,34676,16661,15727
*data,S7J,,30945,12795,12400
*data,S7K,,38213,17556,16636
*data,S7L,,36753,14948,14257
*data,S7M,,28793,12680,11550
*data,S7N,,27765,12791,11722
*data,S7P,,113,41,40
*data,S7R,,96,35,32
*data,S7S,,5519,1950,1891
*data,S7T,,1693,606,586
*data,S7V,,4963,2086,1992
*data,S7W,,752,249,238
*data,S9A,,14232,6267,5840
*data,S9H,,16370,7519,7191
*data,S9V,,10152,4020,3777
*data,S9X,,7301,2765,2572
*data,T0A,,53490,23224,19452
*data,T0B,,59794,24669,22594
*data,T0C,,58578,24824,21216
*data,T0E,,41693,19920,15801
*data,T0G,,41935,16367,14256
*data,T0H,,78570,28724,26664
*data,T0J,,48838,18307,17117
*data,T0K,,51009,18473,16733
*data,T0L,,51695,19267,17671
*data,T0M,,63514,26319,23711
*data,T0P,,2590,1088,904
*data,T0V,,10,8,7
*data,T1A,,26632,12674,11944
*data,T1B,,25649,10083,9810
*data,T1C,,7075,2886,2707
*data,T1G,,10241,3785,3585
*data,T1H,,23249,9835,9398
*data,T1J,,14884,7076,6528
*data,T1K,,39526,16966,15584
*data,T1L,,6678,2834,2560
*data,T1M,,7926,2830,2758
*data,T1P,,13016,4946,4766
*data,T1R,,15110,6062,5754
*data,T1S,,20801,7178,6998
*data,T1V,,13269,5337,5101
*data,T1W,,12530,6833,4955
*data,T1X,,9928,3344,3239
*data,T1Y,,53924,17702,17124
*data,T2A,,56156,20961,20108
*data,T2B,,22863,9250,8860
*data,T2C,,19350,7501,7237
*data,T2E,,31982,16423,15408
*data,T2G,,11574,6003,5627
*data,T2H,,8317,3995,3852
*data,T2J,,47793,18383,17979
*data,T2K,,34712,15021,14480
*data,T2L,,13052,5803,5563
*data,T2M,,19140,9332,8611
*data,T2N,,23015,11851,11054
*data,T2P,,14069,8308,7561
*data,T2R,,11458,7794,7365
*data,T2S,,14775,8322,7867
*data,T2T,,27189,15032,13845
*data,T2V,,31644,14645,14218
*data,T2W,,43117,16738,16378
*data,T2X,,26790,8680,8550
*data,T2Y,,45902,17105,16588
*data,T2Z,,41822,15033,14641
*data,T3A,,53901,19109,18693
*data,T3B,,35620,14828,14287
*data,T3C,,21631,11110,10460
*data,T3E,,36794,17444,16694
*data,T3G,,52875,19295,18696
*data,T3H,,49821,18872,18014
*data,T3J,,51464,15493,14887
*data,T3K,,59375,21311,20435
*data,T3L,,25290,8780,8601
*data,T3M,,5771,2298,2091
*data,T3N,,66,25,19
*data,T3P,,3161,1158,1084
*data,T3R,,6473,2091,1995
*data,T3Z,,8766,2815,2685
*data,T4A,,8048,2717,2641
*data,T4B,,22988,8798,8167
*data,T4C,,17983,6645,6357
*data,T4E,,836,288,278
*data,T4G,,11115,4116,4016
*data,T4H,,9716,4084,3885
*data,T4J,,10364,4048,3921
*data,T4L,,15138,5635,5391
*data,T4N,,35122,15671,15072
*data,T4P,,24054,9474,9053
*data,T4R,,27615,10216,9935
*data,T4S,,15432,6623,5566
*data,T4T,,13990,5401,5149
*data,T4V,,17369,7596,7358
*data,T4X,,9038,2887,2821
*data,T5A,,32689,13161,12505
*data,T5B,,15564,7677,7039
*data,T5C,,16353,6502,6296
*data,T5E,,29865,12136,11558
*data,T5G,,12141,6261,5657
*data,T5H,,25803,14766,13398
*data,T5J,,3816,2596,2129
*data,T5K,,21781,15391,14269
*data,T5L,,16584,7114,6830
*data,T5M,,14503,7860,7420
*data,T5N,,14490,7468,7099
*data,T5P,,19825,9536,9032
*data,T5R,,24718,10334,10079
*data,T5S,,2911,1227,1181
*data,T5T,,54861,22273,21246
*data,T5V,,164,65,61
*data,T5W,,20780,8847,8479
*data,T5X,,34907,12844,12386
*data,T5Y,,27185,10422,9739
*data,T5Z,,23073,7327,7143
*data,T6A,,14893,6627,6351
*data,T6B,,9062,4126,3839
*data,T6C,,19024,9570,9094
*data,T6E,,21866,12943,11942
*data,T6G,,11925,6794,5928
*data,T6H,,30498,13618,12856
*data,T6J,,46569,18987,18495
*data,T6K,,29163,10450,10198
*data,T6L,,52336,18017,17540
*data,T6M,,14396,4856,4650
*data,T6N,,10,3,3
*data,T6P,,1645,757,724
*data,T6R,,26857,9329,9108
*data,T6S,,37,14,12
*data,T6T,,15152,4758,4563
*data,T6V,,11571,4074,3762
*data,T6W,,10620,4460,4067
*data,T6X,,6367,2490,2357
*data,T7A,,11836,4405,4275
*data,T7E,,11883,4652,4452
*data,T7N,,7508,3095,2918
*data,T7P,,7654,3054,2925
*data,T7S,,11437,4316,4119
*data,T7V,,10453,4188,3932
*data,T7X,,28649,10208,9848
*data,T7Y,,6196,2133,2077
*data,T7Z,,20368,7565,7311
*data,T8A,,43580,15396,15153
*data,T8B,,5562,1841,1791
*data,T8C,,4124,1407,1380
*data,T8E,,7868,2733,2661
*data,T8G,,4784,1762,1659
*data,T8H,,15961,5875,5747
*data,T8L,,17354,6699,6503
*data,T8N,,61518,22197,21810
*data,T8R,,10614,3575,3446
*data,T8S,,8162,3212,3053
*data,T8V,,35429,14092,13609
*data,T8W,,11399,3803,3714
*data,T8X,,6931,2378,2304
*data,T9A,,14920,6159,5915
*data,T9C,,6749,3010,2847
*data,T9E,,19559,7677,7460
*data,T9G,,6297,2359,2316
*data,T9H,,26775,11081,9705
*data,T9J,,4592,1733,1597
*data,T9K,,18654,7072,6181
*data,T9M,,15155,5897,5307
*data,T9N,,10027,4107,3731
*data,T9S,,7231,3474,2825
*data,T9V,,17473,6889,6596
*data,T9W,,6972,2965,2695
*data,T9X,,5828,2454,2282
*data,V0A,,13335,7277,5505
*data,V0B,,31464,18655,13694
*data,V0C,,28027,11600,10223
*data,V0E,,64993,34138,27498
*data,V0G,,25704,12771,11200
*data,V0H,,51389,24883,22220
*data,V0J,,54769,23810,20540
*data,V0K,,33382,17908,14242
*data,V0L,,5480,2737,2053
*data,V0M,,10419,5151,4196
*data,V0N,,79627,46549,33507
*data,V0P,,7310,4473,3168
*data,V0R,,60717,29236,25400
*data,V0S,,13947,6207,5582
*data,V0T,,9179,4337,3674
*data,V0V,,2248,864,735
*data,V0W,,461,444,233
*data,V0X,,20156,10341,8595
*data,V1A,,7058,3649,3226
*data,V1B,,18618,7700,6907
*data,V1C,,23395,9939,9619
*data,V1E,,17719,7563,7153
*data,V1G,,14151,6116,5863
*data,V1H,,7983,3551,3201
*data,V1J,,22427,8986,8671
*data,V1K,,9352,4074,3764
*data,V1L,,15304,7354,6795
*data,V1M,,28214,10207,9914
*data,V1N,,11242,5000,4737
*data,V1P,,5761,2069,2010
*data,V1R,,9495,4801,4495
*data,V1S,,9027,3585,3413
*data,V1T,,30113,15078,13513
*data,V1V,,16292,6786,6315
*data,V1W,,28265,12225,11420
*data,V1X,,30548,14514,12217
*data,V1Y,,29934,15639,14509
*data,V1Z,,12534,5262,4842
*data,V2A,,35484,17176,16115
*data,V2B,,35706,14862,14369
*data,V2C,,21563,10438,9642
*data,V2E,,13045,5048,4924
*data,V2G,,18554,7869,7474
*data,V2H,,5017,2132,1960
*data,V2J,,21979,9849,8927
*data,V2K,,20116,7977,7568
*data,V2L,,9659,4804,4320
*data,V2M,,23558,10549,9828
*data,V2N,,29554,11495,10933
*data,V2P,,33774,14581,14018
*data,V2R,,37497,14890,14113
*data,V2S,,44540,17974,17276
*data,V2T,,50790,17593,16884
*data,V2V,,31420,11791,11200
*data,V2W,,13032,4496,4230
*data,V2X,,44556,18156,17055
*data,V2Y,,16401,6404,5935
*data,V2Z,,14960,5940,5588
*data,V3A,,39465,16788,16061
*data,V3B,,45305,17548,16815
*data,V3C,,35299,13061,12401
*data,V3E,,29452,9406,9022
*data,V3G,,19416,6685,6473
*data,V3H,,30777,11935,11215
*data,V3J,,37039,15202,14499
*data,V3K,,27209,11114,10449
*data,V3L,,22930,10775,10238
*data,V3M,,35625,17899,16815
*data,V3N,,33294,12592,11962
*data,V3R,,49499,19165,17865
*data,V3S,,89630,30657,29039
*data,V3T,,27532,11680,10721
*data,V3V,,42888,14011,12905
*data,V3W,,81101,25927,24380
*data,V3X,,18080,5702,5417
*data,V3Y,,15875,6224,5892
*data,V4A,,35508,15166,14644
*data,V4B,,18754,10191,9525
*data,V4C,,39425,13179,12458
*data,V4E,,12196,3863,3744
*data,V4G,,142,67,56
*data,V4K,,23691,9105,8774
*data,V4L,,7749,3566,3376
*data,V4M,,14192,5628,5420
*data,V4N,,40529,12846,12234
*data,V4P,,10466,4173,4059
*data,V4R,,11389,3857,3662
*data,V4S,,5221,1964,1860
*data,V4T,,21546,8961,8411
*data,V4V,,11610,5429,4637
*data,V4W,,18807,7152,6670
*data,V4X,,9767,3249,3133
*data,V4Z,,2608,962,865
*data,V5A,,22341,8494,7873
*data,V5B,,20843,8031,7622
*data,V5C,,23523,9917,9357
*data,V5E,,23291,9486,9037
*data,V5G,,18489,7143,6754
*data,V5H,,34297,16518,15445
*data,V5J,,18081,6789,6192
*data,V5K,,22345,8519,7940
*data,V5L,,19128,10377,9766
*data,V5M,,21907,7754,7356
*data,V5N,,31290,13383,12525
*data,V5P,,30157,10148,9566
*data,V5R,,44460,16409,15242
*data,V5S,,26584,9877,9511
*data,V5T,,20859,12075,11142
*data,V5V,,22568,8940,8159
*data,V5W,,19254,7235,6694
*data,V5X,,27515,8989,8337
*data,V5Y,,11450,5205,4855
*data,V5Z,,20044,10319,9593
*data,V6A,,17168,10509,9422
*data,V6B,,15184,10528,9247
*data,V6C,,1791,1169,824
*data,V6E,,23966,16693,15050
*data,V6G,,25812,18190,16637
*data,V6H,,16631,10009,9433
*data,V6J,,20498,12186,11433
*data,V6K,,25168,14425,13421
*data,V6L,,10732,3948,3735
*data,V6M,,16864,7229,6868
*data,V6N,,14248,4969,4702
*data,V6P,,30958,12738,12169
*data,V6R,,18935,8896,8243
*data,V6S,,8579,3235,3067
*data,V6T,,11232,5889,4537
*data,V6V,,10544,3409,3230
*data,V6W,,1104,454,368
*data,V6X,,23587,8743,8120
*data,V6Y,,39116,16492,15513
*data,V6Z,,15754,10509,8883
*data,V7A,,24624,8345,8104
*data,V7B,,769,298,287
*data,V7C,,38058,13398,12901
*data,V7E,,36659,13228,12894
*data,V7G,,11495,4443,4228
*data,V7H,,12294,4460,4349
*data,V7J,,15108,5803,5573
*data,V7K,,11995,4219,4088
*data,V7L,,23210,11462,10764
*data,V7M,,16990,9204,8681
*data,V7N,,14465,5486,5271
*data,V7P,,11150,5047,4788
*data,V7R,,14720,5219,5019
*data,V7S,,10564,4002,3690
*data,V7T,,9080,4203,3868
*data,V7V,,14903,7102,6629
*data,V7W,,8514,3457,3143
*data,V7X,,5,4,2
*data,V7Y,,5,1,1
*data,V8A,,17745,8663,7818
*data,V8B,,2502,1157,967
*data,V8C,,8992,4257,3628
*data,V8G,,18587,7906,7192
*data,V8J,,12945,6009,5113
*data,V8K,,9663,5210,4330
*data,V8L,,22660,10268,9666
*data,V8M,,15275,6408,6150
*data,V8N,,24490,9962,9360
*data,V8P,,17313,9359,7569
*data,V8R,,22994,11276,10711
*data,V8S,,16860,8321,7834
*data,V8T,,18500,9762,9248
*data,V8V,,24398,15880,14623
*data,V8W,,3465,2269,2051
*data,V8X,,22633,10319,9874
*data,V8Y,,9561,3975,3804
*data,V8Z,,27590,11104,10699
*data,V9A,,35403,18429,17494
*data,V9B,,32949,13228,12595
*data,V9C,,17466,6759,6416
*data,V9E,,4924,1965,1863
*data,V9G,,13496,5994,5614
*data,V9H,,7263,2906,2761
*data,V9J,,8392,3754,3262
*data,V9K,,14516,7185,6528
*data,V9L,,32214,13415,12996
*data,V9M,,15460,6927,6630
*data,V9N,,26428,12216,11593
*data,V9P,,22605,10995,10307
*data,V9R,,24395,11380,10630
*data,V9S,,15533,7625,7264
*data,V9T,,28096,11951,11583
*data,V9V,,9936,3854,3750
*data,V9W,,27643,12141,11519
*data,V9X,,8962,3510,3370
*data,V9Y,,25468,11694,10850
