CHREM:zone 01:net:air exch zone amb total CVI avg (W), CHREM:zone 01:net:flux cas gain CONV (W), CHREM:zone 01:net:flux cas gain RAD (W), CHREM:zone 01:net:flux heat cool sys (W), CHREM:zone 01:net:storage air mass sensible (W), 
-551.59467, 264.54474, 264.54474, 2460.8228, 0.0000000, 
-559.66693, 357.09851, 357.09851, 2386.0244, 0.0000000, 
-563.37793, 247.31650, 247.31650, 2517.9841, 0.0000000, 
-574.27734, 183.29126, 183.29126, 2636.3462, 0.0000000, 
-566.52161, 481.77173, 481.77173, 2310.1221, 0.0000000, 
-560.47424, 586.01044, 586.01044, 1885.3162, 0.0000000, 
-564.33667, 362.86975, 362.86975, 1259.3344, 0.0000000, 
-561.66602, 338.40250, 338.40250, 359.38138, 92.011978, 
-595.69714, 553.50623, 553.50623, 0.0000000, 245.05254, 
-698.15002, 569.48047, 569.48047, 0.0000000, 94.065384, 
-756.87708, 421.08099, 421.08099, -0.0000000, 9.4482822, 
-760.79553, 825.68121, 825.68121, -0.0000000, 153.81500, 
-770.50995, 724.24969, 724.24969, -0.0000000, -148.89238, 
-666.93494, 181.42450, 181.42450, 0.0000000, -180.76439, 
-604.60669, 534.63922, 534.63922, 0.0000000, 52.670410, 
-631.12897, 960.22974, 960.22974, 0.0000000, -73.330276, 
-610.82764, 1032.5485, 1032.5485, 0.0000000, -70.974190, 
-539.18030, 881.35596, 881.35596, 0.0000000, -106.65535, 
-484.29483, 900.72168, 900.72168, 0.0000000, -35.191910, 
-459.48669, 947.31921, 947.31921, 74.968979, -34.660725, 
-433.85532, 623.95825, 623.95825, 668.07886, 0.0000000, 
-467.14764, 455.12424, 455.12424, 1183.1204, 0.0000000, 
-520.09460, 344.72949, 344.72949, 1630.5598, 0.0000000, 
-521.31067, 186.93924, 186.93924, 2025.9128, 0.0000000, 
-543.25806, 292.21826, 292.21826, 2088.9670, 0.0000000, 
-566.40778, 480.10449, 480.10449, 1991.3408, 0.0000000, 
-531.55005, 439.00751, 439.00751, 2025.4109, 0.0000000, 
-531.55005, 300.62573, 300.62573, 2212.4932, 0.0000000, 
-526.05707, 411.33398, 411.33398, 2162.8677, 0.0000000, 
-493.85477, 406.13275, 406.13275, 2035.9994, 0.0000000, 
-477.73660, 367.30151, 367.30151, 1586.9220, 0.0000000, 
-395.91156, 446.60275, 446.60275, 800.12720, 0.0000000, 
-388.06180, 512.29529, 512.29529, 297.14615, 0.0000000, 
-459.03555, 424.42975, 424.42975, 237.94656, 0.0000000, 
-456.12766, 178.38925, 178.38925, 409.86047, 0.0000000, 
-398.23380, 171.90550, 171.90550, 384.57382, 0.0000000, 
-383.69012, 292.88800, 292.88800, 282.11688, 0.0000000, 
-392.89224, 391.88275, 391.88275, 238.31992, 0.0000000, 
-362.17511, 355.75897, 355.75897, 402.25043, 0.0000000, 
-339.97449, 282.75623, 282.75623, 711.10822, 0.0000000, 
-313.68640, 466.38177, 466.38177, 686.89111, 0.0000000, 
-292.71097, 795.11499, 795.11499, 402.52728, 0.0000000, 
-275.21100, 697.27448, 697.27448, 544.81042, 0.0000000, 
-261.30557, 771.01819, 771.01819, 506.53360, 0.0000000, 
-255.22256, 1044.9745, 1044.9745, 196.35167, 0.0000000, 
-261.41959, 658.59998, 658.59998, 597.18732, 0.0000000, 
-278.28229, 256.84976, 256.84976, 1138.5518, 0.0000000, 
-316.54178, 273.52225, 273.52225, 1279.0640, 0.0000000, 
-322.16156, 225.25751, 225.25751, 1412.4380, 0.0000000, 
-311.77368, 137.20676, 137.20676, 1581.2798, 0.0000000, 
-336.92166, 163.28426, 163.28426, 1674.2322, 0.0000000, 
-366.84589, 171.79150, 171.79150, 1770.3582, 0.0000000, 
-394.99310, 273.25150, 273.25150, 1748.7488, 0.0000000, 
-425.21155, 361.28799, 361.28799, 1615.5477, 0.0000000, 
-546.37335, 362.99799, 362.99799, 1297.4802, 0.0000000, 
-602.27435, 295.19647, 295.19647, 650.68231, 0.0000000, 
-553.41003, 233.52249, 233.52249, 45.407047, 80.176926, 
-579.56897, 508.70422, 508.70422, 0.0000000, 210.60709, 
-645.14642, 512.60876, 512.60876, 0.0000000, -85.639359, 
-708.40314, 261.11050, 261.11050, 0.0000000, -64.649681, 
-720.32483, 708.66028, 708.66028, 0.0000000, 146.77046, 
-712.81781, 1029.1000, 1029.1000, 0.0000000, -38.985378, 
-719.60767, 577.23248, 577.23248, 3.6173596, -251.03690, 
-740.85260, 556.17102, 556.17102, 178.24823, 0.0000000, 
-716.18933, 1341.5598, 1341.5598, 174.63087, 157.35431, 
-680.13403, 1182.6295, 1182.6295, 308.88406, -158.28038, 
-702.00793, 433.87750, 433.87750, 1264.7720, 0.0000000, 
-686.22034, 439.27826, 439.27826, 1565.8965, 0.0000000, 
-637.14667, 709.95703, 709.95703, 1459.7953, 0.0000000, 
-647.44989, 635.65753, 635.65753, 1661.6354, 0.0000000, 
-692.38361, 295.92325, 295.92325, 2226.0178, 0.0000000, 
-674.03381, 168.88449, 168.88449, 2522.9795, 0.0000000, 
-685.08167, 119.87875, 119.87875, 2710.2510, 0.0000000, 
-722.80475, 103.71925, 103.71925, 2857.4155, 0.0000000, 
-665.68756, 124.33900, 124.33900, 2827.2739, 0.0000000, 
-649.90613, 143.39125, 143.39125, 2822.4795, 0.0000000, 
-726.57031, 156.07375, 156.07375, 2934.5371, 0.0000000, 
-707.32074, 181.76649, 181.76649, 2656.5002, 0.0000000, 
-660.27393, 358.99377, 358.99377, 1527.8335, 0.0000000, 
-689.34106, 945.31000, 945.31000, 554.68994, 277.82129, 
-706.48547, 1267.1748, 1267.1748, 0.0000000, 213.67590, 
-695.08569, 1079.1317, 1079.1317, -0.0000000, 182.55888, 
-700.35925, 691.68848, 691.68848, -0.0000000, 7.5611930, 
-762.90765, 703.31647, 703.31647, -0.0000000, 78.025513, 
-765.15118, 619.32697, 619.32697, -0.0000000, -67.978081, 
-710.31097, 168.21475, 168.21475, -0.0000000, -201.21278, 
-644.41992, 255.25374, 255.25374, -0.0000000, -43.175907, 
-576.92957, 434.88922, 434.88922, 0.0000000, -117.70696, 
-563.56665, 480.98798, 480.98798, 0.0000000, -125.33493, 
-537.72156, 574.96674, 574.96674, 0.0000000, -76.283981, 
-489.42444, 467.37924, 467.37924, 33.442711, -132.83754, 
-463.89496, 746.47974, 746.47974, 33.442711, 26.332777, 
-490.36951, 1012.7125, 1012.7125, 79.022118, -26.358585, 
-514.56360, 557.61023, 557.61023, 909.97998, 0.0000000, 
-521.89099, 234.94751, 234.94751, 1589.4851, 0.0000000, 
-528.48090, 290.18051, 290.18051, 1817.9175, 0.0000000, 
-527.33228, 329.86676, 329.86676, 1968.3127, 0.0000000, 
-532.63184, 214.92624, 214.92624, 2230.5845, 0.0000000, 
-538.49396, 228.87700, 228.87700, 2326.6328, 0.0000000, 
-539.05646, 262.36450, 262.36450, 2334.4553, 0.0000000, 
-531.20117, 195.11876, 195.11876, 2420.2974, 0.0000000, 
-563.79102, 226.25500, 226.25500, 2250.5205, 0.0000000, 
-554.53845, 382.81976, 382.81976, 1313.6368, 0.0000000, 
-504.01587, 588.50427, 588.50427, 153.92928, 82.076584, 
-452.34140, 570.97675, 570.97675, 0.0000000, 237.15303, 
-399.81857, 538.90002, 538.90002, 0.0000000, 136.78204, 
-466.72620, 694.22498, 694.22498, -0.0000000, 171.16054, 
-526.46252, 810.27698, 810.27698, -0.0000000, 82.118851, 
-545.72821, 558.99249, 558.99249, -0.0000000, -109.75233, 
-531.47809, 227.62299, 227.62299, -0.0000000, -116.58537, 
-465.12793, 277.02774, 277.02774, -0.0000000, -46.718040, 
-412.01358, 481.10199, 481.10199, 0.0000000, -82.799316, 
-418.11871, 752.03723, 752.03723, 0.0000000, -32.731300, 
-412.49677, 767.68372, 767.68372, 0.0000000, -89.766006, 
-379.59213, 693.65503, 693.65503, 0.0000000, -73.828522, 
-337.14908, 561.42926, 561.42926, 0.0000000, -98.396133, 
-267.71957, 420.29724, 420.29724, 65.929810, -62.077522, 
-268.56699, 359.96274, 359.96274, 346.47629, 0.0000000, 
-282.08820, 680.21722, 680.21722, 299.76324, 0.0000000, 
-268.44812, 598.10870, 598.10870, 538.82153, 0.0000000, 
-249.92686, 107.23900, 107.23900, 1189.6382, 0.0000000, 
-245.90858, 181.60974, 181.60974, 1287.4666, 0.0000000, 
-251.12160, 334.81149, 334.81149, 1219.1106, 0.0000000, 
-262.41418, 264.81549, 264.81549, 1338.4500, 0.0000000, 
-269.50623, 116.14525, 116.14525, 1552.5771, 0.0000000, 
-272.68829, 108.80650, 108.80650, 1608.0840, 0.0000000, 
-249.92952, 191.44225, 191.44225, 1483.1979, 0.0000000, 
-207.44217, 263.73248, 263.73248, 1266.5089, 0.0000000, 
-236.02003, 354.60474, 354.60474, 1039.8943, 0.0000000, 
-241.15685, 429.21771, 429.21771, 753.68738, 0.0000000, 
-197.40768, 296.99200, 296.99200, 603.38367, 0.0000000, 
-180.36597, 133.47325, 133.47325, 612.08490, 0.0000000, 
-165.78206, 126.98950, 126.98950, 590.78748, 0.0000000, 
-158.26205, 160.93298, 160.93298, 573.44067, 0.0000000, 
-169.66336, 211.62024, 211.62024, 611.25500, 0.0000000, 
-196.39095, 318.40973, 318.40973, 673.14899, 0.0000000, 
-219.43388, 541.00903, 541.00903, 575.46832, 0.0000000, 
-232.91521, 861.20654, 861.20654, 280.67908, 0.0000000, 
-257.02222, 1121.2120, 1121.2120, 47.842381, 13.152366, 
-257.17947, 810.26276, 810.26276, 345.88431, -13.158801, 
-244.41692, 377.88922, 377.88922, 857.40894, 0.0000000, 
-266.95969, 758.64923, 758.64923, 563.19409, 0.0000000, 
