"Contribution of infiltration to heating load (W)","<summary_variable>building/zone_02/envelope/infiltration/heat_loss</summary_variable>"
"Contribution of infiltration to net heat flux (W)","<summary_variable>building/zone_02/envelope/infiltration/net_flux</summary_variable>"
"Contribution of walls to cooling load (W)","<summary_variable>building/zone_02/envelope/walls/heat_gain</summary_variable>"
"Contribution of walls to heating load (W)","<summary_variable>building/zone_02/envelope/walls/heat_loss</summary_variable>"
"Contribution of walls to net heat flux (W)","<summary_variable>building/zone_02/envelope/walls/net_flux</summary_variable>"
"Contribution of windows to cooling load (W)","<summary_variable>building/zone_02/envelope/windows/heat_gain</summary_variable>"
"Contribution of windows to heating load (W)","<summary_variable>building/zone_02/envelope/windows/heat_loss</summary_variable>"
"Contribution of windows to net heat flux (W)","<summary_variable>building/zone_02/envelope/windows/net_flux</summary_variable>"
"Solar gains admitted through glazing that increase cooling loads (W)","<summary_variable>building/zone_02/insolation/adverse</summary_variable>"
"Solar gains admitted through glazing  (W)","<summary_variable>building/zone_02/insolation/total</summary_variable>"
"Solar gains admitted through glazing that supplant heating loads (W)","<summary_variable>building/zone_02/insolation/useful</summary_variable>"
"Internal heat gains(convective + radiant) that increase cooling loads (W)","<summary_variable>building/zone_02/internal_gains/adverse</summary_variable>"
"Internal heat gains(convective + radiant) (W)","<summary_variable>building/zone_02/internal_gains/total</summary_variable>"
"Internal heat gains(convective + radiant) that supplant heating loads (W)","<summary_variable>building/zone_02/internal_gains/useful</summary_variable>"
"Zone net heat extraction  (W)","<summary_variable>building/zone_02/supplied_energy/cooling</summary_variable>"
"Zone net heat injection  (W)","<summary_variable>building/zone_02/supplied_energy/heating</summary_variable>"
"Zone net heat injection/extraction  (W)","<summary_variable>building/zone_02/supplied_energy/net</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_01/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_01/HCi</summary_variable>"
"Heat transfer through building envelope (below-grade) (W)","<summary_variable>building/zone_02/surface_01/heat_flux/below_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_01/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_01/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_02/surface_01/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_02/surface_01/temperature</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_02/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_02/HCi</summary_variable>"
"Heat transfer through building envelope (below-grade) (W)","<summary_variable>building/zone_02/surface_02/heat_flux/below_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_02/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_02/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_02/surface_02/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_02/surface_02/temperature</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_03/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_03/HCi</summary_variable>"
"Heat transfer through building envelope (below-grade) (W)","<summary_variable>building/zone_02/surface_03/heat_flux/below_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_03/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_03/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_02/surface_03/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_02/surface_03/temperature</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_04/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_04/HCi</summary_variable>"
"Heat transfer through building envelope (below-grade) (W)","<summary_variable>building/zone_02/surface_04/heat_flux/below_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_04/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_04/node_02/temperature</summary_variable>"
"Plant containment radiant heat flux at surface (W)","<summary_variable>building/zone_02/surface_04/plant_containment_flux</summary_variable>"
"Temperature on zone inside face (oC)","<summary_variable>building/zone_02/surface_04/temperature</summary_variable>"
"External side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_05/HCe</summary_variable>"
"Internal side convective coefficient (W/(m2 K))","<summary_variable>building/zone_02/surface_05/HCi</summary_variable>"
"Heat transfer through building envelope (above-grade) (W)","<summary_variable>building/zone_02/surface_05/heat_flux/above_grade/net</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_05/node_01/temperature</summary_variable>"
"Temperature at node within multilayer construction (oC)","<summary_variable>building/zone_02/surface_05/node_02/temperature</summary_variable>"
